step,time_ps,strain,sigma_zz_GPa,sigma_xx_GPa,sigma_yy_GPa,temp_K,pe_eV_atom,lx_A,ly_A,lz_A,vol_A3,density_g_cm3
7200,7.2,0.0719999999999986,10.0397090085791,0.0033107515532859,-0.000753547673782039,300.025010978393,-4.79283141991416,157.760816390299,91.0828582863261,130.61399743794,1876832.50783323,4.57510893825665
7300,7.3,0.0729999999999985,10.1666551482915,0.00415722478658138,0.00179758808866112,299.604747518089,-4.79158467610885,157.831027941123,91.1247026261849,130.473249595874,1876506.13348072,4.57590467144971
7400,7.4,0.0739999999999988,10.2836864993968,-0.00368741645882086,0.00636706488195688,299.655196686548,-4.79047128118315,157.912695619413,91.1631514454718,130.332501753807,1876243.10322929,4.57654616686904
7500,7.5,0.0749999999999987,10.4085628957774,0.00967938437165865,0.000986163479698908,299.38833458362,-4.78945797799587,157.972650197156,91.206350217856,130.19175391174,1875816.96286865,4.57758584775084
7600,7.6,0.0759999999999986,10.5204712500676,0.000345834103686741,-0.000183833940837056,300.289581947614,-4.78843482517304,158.047937816847,91.2506429772396,130.051006069673,1875592.48142182,4.57813371894582
7700,7.7,0.0769999999999989,10.6475327707058,-0.00215013993281583,0.00690873076276658,300.486446684494,-4.78705821163528,158.130871038521,91.2879645821045,129.910258227607,1875312.43365982,4.57881738961268
7800,7.8,0.0779999999999988,10.7692924078495,0.00745919093026916,0.00238654858433523,298.639045136803,-4.785490410334,158.197879604631,91.335935894489,129.76951038554,1875059.30139444,4.57943552815248
7900,7.9,0.0789999999999987,10.8871742148411,0.00114506947592081,0.00670277248557822,299.443855427522,-4.78431819192126,158.271432752243,91.3800126897069,129.628762543473,1874800.76934141,4.58006702504973
8000,8,0.0799999999999986,11.0031661877491,0.00630242262176759,0.00092752605483124,299.443470483689,-4.78305468140518,158.356466917281,91.4187523745227,129.488014701407,1874565.69918493,4.58064136452086
8100,8.1,0.0809999999999989,11.1171088193649,-0.001506540966417,0.00215944515566462,299.98694026526,-4.78186502999943,158.437295559836,91.461092816972,129.34726685934,1874351.6084798,4.58116457091141
8200,8.2,0.0819999999999987,11.2374128225489,-0.00195512698994356,0.00711062668606778,301.076808926047,-4.78076219122974,158.506969526562,91.5046605775314,129.206519017273,1874027.68943541,4.58195640897141
8300,8.3,0.0829999999999986,11.3506989332438,0.0117987757790252,-0.00741833565651495,300.148047100531,-4.77936430271746,158.573748710786,91.5565096037625,129.065771175206,1873836.10023705,4.58242488823446
8400,8.4,0.0839999999999987,11.4691486574765,-0.00399396025926952,0.00968708127732746,300.253990442141,-4.77797868612635,158.662385430673,91.5929473606502,128.92502333314,1873584.27409753,4.58304080628266
8500,8.5,0.0849999999999988,11.580962713957,-0.00283295394304294,0.00618691232892233,300.265828314648,-4.77646489542757,158.746528147762,91.6379896507248,128.784275491073,1873452.24843389,4.58336378169047
8600,8.6,0.0859999999999987,11.6962291554538,0.00987867916541262,-0.00282968140797263,300.453282658346,-4.77507842370352,158.809914359642,91.6900693296931,128.643527649006,1873215.97745291,4.5839418868689
8700,8.7,0.0869999999999986,11.8080487581254,-0.00314561273302394,0.00303317287486257,300.374534240708,-4.77383418368343,158.890156973879,91.733631991395,128.502779806939,1873001.41479017,4.58446700274406
8800,8.8,0.0879999999999989,11.920058128154,-0.000688574094203379,0.00510755635725834,299.015488005746,-4.77252891748678,158.972251168628,91.7752009818838,128.362031964873,1872764.86008494,4.58504608091004
8900,8.9,0.0889999999999988,12.032975486442,0.00304038364068094,0.00362836247584252,299.115115646678,-4.77110287363734,159.046277883344,91.8235745277674,128.221284122806,1872568.98916344,4.58552567723262
9000,9,0.0899999999999987,12.1442741329884,0.00282936763856366,0.00307209975174217,299.957724454531,-4.76963831655089,159.127654235207,91.8700491876003,128.080536280739,1872417.73913402,4.58589608650566
9100,9.1,0.0909999999999986,12.2501010244451,0.00267155864596665,0.00417262341251753,300.683272000342,-4.76818973166193,159.214388435733,91.9142871337789,127.939788438672,1872280.71723177,4.58623170295436
9200,9.2,0.0919999999999987,12.3597639511436,0.00321555105330582,0.00396706191121739,300.480511001662,-4.76666924181943,159.289270802192,91.964631090527,127.799040596606,1872125.46524294,4.58661203087915
9300,9.3,0.0929999999999987,12.471319737094,0.00383779824259275,-0.000484717505297615,300.540513587027,-4.76525455986144,159.366658587628,92.013146186571,127.658292754539,1871959.20354223,4.58701939975519
9400,9.4,0.0939999999999987,12.57786588609,0.000744142280718561,0.00165738701577208,299.16723893132,-4.76383462623993,159.45548319598,92.0559688700963,127.517544912472,1871808.23592,4.58738935827903
9500,9.5,0.0949999999999988,12.6861321890492,0.00345732307643297,0.00547958880990941,299.49052577525,-4.76247513941586,159.53425019111,92.1014787940782,127.376797070405,1871590.63343748,4.58792271599885
9600,9.6,0.0959999999999988,12.7910241920061,0.00617572312972495,-0.00380201886884373,298.895927998583,-4.76071446877915,159.614263446773,92.1555205150844,127.236049228339,1871557.73955642,4.5880033518141
9700,9.7,0.0969999999999987,12.898364974798,0.00132091562048977,0.00625503772017632,300.012892749156,-4.75920812451137,159.70258285757,92.1987041758953,127.095301386272,1871398.39449914,4.58839400922785
