case,label,frame,strain,mds1,mds2
108k_1e10,"Ti 108k, 1e10 s^-1",9,0.0899999999999999,-0.006384628366152939,-0.006852221322549725
108k_1e10,"Ti 108k, 1e10 s^-1",10,0.1,-0.008824473286172052,-0.001983972246571553
108k_1e10,"Ti 108k, 1e10 s^-1",11,0.1049999999999999,-0.010462526011880087,0.0010115588623137847
108k_1e10,"Ti 108k, 1e10 s^-1",12,0.1100000000000001,-0.010921393594876646,0.0036120322806347926
108k_1e10,"Ti 108k, 1e10 s^-1",13,0.1149999999999999,-0.01088333425362054,0.007930872038990842
108k_1e10,"Ti 108k, 1e10 s^-1",14,0.12,-0.012608860100995373,0.010208802591184233
108k_1e10,"Ti 108k, 1e10 s^-1",15,0.1219999999999999,-0.01268966996225227,0.011664661979265745
108k_1e10,"Ti 108k, 1e10 s^-1",16,0.124,-0.013108677656031928,0.01343847055276631
108k_1e10,"Ti 108k, 1e10 s^-1",17,0.1259999999999999,-0.01268003301337343,0.014198378236703897
108k_1e10,"Ti 108k, 1e10 s^-1",18,0.128,-0.013854840413032253,0.015811714014379245
108k_1e10,"Ti 108k, 1e10 s^-1",19,0.1299999999999999,-0.013586694474609286,0.01708570698625228
108k_1e10,"Ti 108k, 1e10 s^-1",20,0.132,-0.013584480423072635,0.01907950040244166
108k_1e10,"Ti 108k, 1e10 s^-1",21,0.1340000000000001,-0.013682878984302267,0.020406890938962637
108k_1e10,"Ti 108k, 1e10 s^-1",22,0.1359999999999999,-0.015013986294953569,0.020415725208994744
108k_1e10,"Ti 108k, 1e10 s^-1",23,0.138,-0.014383302774046165,0.023688975002981456
108k_1e10,"Ti 108k, 1e10 s^-1",24,0.1399999999999999,-0.013920155955999896,0.02501273722068268
108k_1e10,"Ti 108k, 1e10 s^-1",25,0.142,-0.015501590748569022,0.025102650617371335
108k_1e10,"Ti 108k, 1e10 s^-1",26,0.1439999999999999,-0.01600419971830678,0.0263445942086881
108k_1e10,"Ti 108k, 1e10 s^-1",27,0.146,-0.015768924035099514,0.02838324160966839
108k_1e10,"Ti 108k, 1e10 s^-1",28,0.1479999999999999,-0.0156967035926213,0.03024656083717311
108k_1e10,"Ti 108k, 1e10 s^-1",29,0.15,-0.016038264719481454,0.03154817325776371
108k_1e10,"Ti 108k, 1e10 s^-1",30,0.1520000000000001,-0.016148176075382107,0.0328929057828916
108k_1e10,"Ti 108k, 1e10 s^-1",31,0.1539999999999999,-0.016600946402420474,0.034012165772863666
108k_1e10,"Ti 108k, 1e10 s^-1",32,0.156,-0.016418181427906044,0.03628017673992136
108k_1e10,"Ti 108k, 1e10 s^-1",33,0.1579999999999999,-0.016195489518764778,0.03739848317072878
108k_1e10,"Ti 108k, 1e10 s^-1",34,0.1600000000000001,-0.01705584391714969,0.03876982885583201
108k_1e10,"Ti 108k, 1e10 s^-1",35,0.1619999999999999,-0.016365831385609226,0.04053944206013571
108k_1e10,"Ti 108k, 1e10 s^-1",36,0.164,-0.015270228906997405,0.04248038546407782
108k_1e10,"Ti 108k, 1e10 s^-1",37,0.1659999999999999,-0.01795093369554339,0.04293091174518211
108k_1e10,"Ti 108k, 1e10 s^-1",38,0.168,-0.0132602227078358,0.045998890214777634
108k_1e10,"Ti 108k, 1e10 s^-1",39,0.1700000000000001,-0.011366453943215213,0.04638927703916968
108k_1e10,"Ti 108k, 1e10 s^-1",40,0.1719999999999999,-0.007824899174323758,0.04437872211601864
108k_1e10,"Ti 108k, 1e10 s^-1",41,0.174,-0.003041544154230623,0.04064820737660128
108k_1e10,"Ti 108k, 1e10 s^-1",42,0.1759999999999999,0.002698143718003989,0.03337792565752642
108k_1e10,"Ti 108k, 1e10 s^-1",43,0.1780000000000001,0.008477107663115623,0.024537413265568814
108k_1e10,"Ti 108k, 1e10 s^-1",44,0.18,0.01302285192419925,0.01774953332620178
108k_1e10,"Ti 108k, 1e10 s^-1",45,0.1899999999999999,0.02311487823278716,-0.0060467302065041004
108k_1e10,"Ti 108k, 1e10 s^-1",46,0.2,0.023610094382158543,-0.01080200302922473
108k_1e10,"Ti 108k, 1e10 s^-1",47,0.21,0.02389867597637921,-0.011994820509872594
108k_1e10,"Ti 108k, 1e10 s^-1",48,0.22,0.023512326530322526,-0.01231530310490253
108k_1e10,"Ti 108k, 1e10 s^-1",49,0.2300000000000001,0.023807586216588215,-0.0118602388919748
108k_1e10,"Ti 108k, 1e10 s^-1",50,0.2399999999999999,0.023241815735573917,-0.013741077159181107
108k_1e10,"Ti 108k, 1e10 s^-1",51,0.25,0.02315018670832876,-0.013276438235501616
